Reporter REF	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE	Unknown:VALUE
A_23_P102000	-0.74021	0.3541221918	-1.22334	0.9364651177	0.90419	0.3366654395
A_23_P102017	-1.27286	-1.134629232	-1.4025	-1.081374098	0.787293	-1.036200928
A_23_P102037	0.108487	0.005595231313	0.046695	-0.5502924057	0.0272894	-0.5750267469
A_23_P102058	-0.407716	0.6358280768	-0.467166	0.9448493539	0.0991585	0.359246174
A_23_P10206	-0.000908015	0.03961823674	-0.0353788	0.1229528191	-0.180028	0.06529480884
A_23_P102060	0.200863	0.3704479459	0.0941763	0.2016240998	-0.0217751	0.1974882264
A_23_P102071	-0.184642	0.2206503637	-0.271632	0.02971163132	-0.763052	0.02433291369
A_23_P102083	0.115854	-0.04584253903	0.122334	0.02265059565	-0.124379	0.1251821489
A_23_P102109	0.084871	-0.02235431305	-0.0367673	-0.1669211831	-0.168464	-0.09266000713
A_23_P10211	-0.081219	0.01711627391	-0.0489852	-0.05382288468	-0.220472	0.002713594123
A_23_P102113	0.0480164	0.07062991129	0.0390214	-0.06963333402	-0.267143	-0.4056535115
A_23_P102117	-0.0218535	0.03890551177	0.193895	-0.02700657211	0.118996	-0.1132146616
A_23_P102122	-0.0526796	0.2059239173	-0.240954	0.1931035074	0.03588	0.106084682
A_23_P102160	-0.229957	0.102183815	-0.601683	0.4110168059	0.565865	0.4068023867
A_23_P102172	-0.41513	0.01478642781	-0.461932	0.1806353679	0.0865562	0.07368895156
A_23_P102183	0.139159	-0.06921631701	0.320473	-0.4397835147	-0.132562	-0.4074786898
A_23_P102192	-0.487755	-0.1370533703	-0.206342	-0.1466816334	0.318064	0.3594663792
A_23_P102202	0.194348	0.01444897985	0.099634	0.06522056834	-0.202965	0.04009677446
A_23_P102235	0.0174376	-0.2614953427	0.350304	0.2516561434	0.084014	-0.09538344078
A_23_P102242	0.214719	0.0718236777	-0.0331556	-0.2898693053	0.0212682	0.06281897377
A_23_P102258	-0.0778304	-0.2473093127	0.1124	0.121000994	0.270267	-0.03800398078
A_23_P102262	-0.00375503	0.1083860046	-0.00419047	0.1407142831	0.176884	0.06291697502
A_23_P102278	-0.353729	0	0.208045	0	0.235161	0
A_23_P102286	0.00222799	-0.1856962852	-0.00730037	-0.0004678007306	-0.187694	0.04475256356
A_23_P10232	0.0245943	0.185618664	-0.182667	0.1293895467	-0.19166	0.4148731014
A_23_P102320	0.132175	-0.06548495995	0.0442893	0.1179982943	-0.0517047	-0.01861234969
A_23_P102331	-0.217942	1.502311672	-0.168853	1.527748537	0.483492	1.045008353
A_23_P102351	0.0677577	0.04708342292	-0.00152612	-0.04841561186	-0.0929178	-0.01360684193
A_23_P102364	0.0175492	0.08797045587	-0.0762523	0.0235360106	-0.11758	0.03400262595
A_23_P102391	0.234603	0.2841961766	-0.260597	-0.04091022516	-0.155454	0.2361098708
A_23_P102404	0.240816	0.08259957373	0.00248148	-0.08037423473	-0.0981586	-0.05279988962
A_23_P102412	-0.0515255	0.006771213018	-0.0428919	-0.001993372392	0.124756	0.01190682776
A_23_P102420	0.168859	0.02051257764	-0.0226346	-0.05455405488	0.0725449	-0.04382781835
A_23_P102439	-0.0412446	-0.2348874249	-0.0425351	0.02331087247	0.0906768	-0.02131125494
A_23_P102454	0.126061	0.005662197807	-0.111518	-0.04426505775	0.26969	0.1980876129
A_23_P102462	-0.0848389	0.02655000363	-0.0422593	0.05763898438	-0.182633	0.08920337567
A_23_P102471	0.229056	-0.186131394	0.190899	-0.3924272714	-0.270206	-0.4222553109
A_23_P102481	-0.128526	-0.1127780086	0.0147542	0.03802668977	0.183151	-0.03140029099
A_23_P102494	-0.0983215	-0.3177903172	-0.0577319	-0.02965461282	0.0287587	0.02990036128
A_23_P102508	-0.237312	-0.3953138597	-0.25689	-0.2353942722	0.473438	-0.02891266154
A_23_P102517	0.209013	-0.02446010498	0.203453	-0.5224583832	-0.236209	-0.6476433213
A_23_P102523	0.00594811	0.0391878048	0.138925	0.000810104806	0.0217454	-0.03113310555
A_23_P102542	0.208208	-0.02865564473	0.191357	0.1842983971	-0.0603673	-0.2410837005
A_23_P102551	-0.0881632	0.03422507972	0.000993314	-0.06931898059	-0.0957921	-0.1364353575
A_23_P102571	-0.688762	0.04103417613	-0.241949	0.3468814421	0.75815	0.1694714746
A_23_P102575	-0.443107	0.07395476804	-0.207539	0.2647241284	0.536385	0.2360336848
A_23_P102582	0.0913097	-0.1340284778	0.0360228	0.0213696221	-0.0257185	-0.05306614305
A_23_P102607	0.17222	0.1918723829	0.11187	-0.1768647932	-0.00860686	-0.0276468807
A_23_P102611	-0.0113633	0.7401431001	-0.0795926	0.2868669925	0.0438145	0.4737778095
A_23_P102622	-0.0426988	0.6790288521	-0.100387	0.6988718264	0.195689	0.4295921357
A_23_P102634	-0.0803107	0.04853686386	-0.139849	-0.01886494832	0.137794	0.1613293431
A_23_P102681	-0.239975	-0.3224550374	-0.188256	0.07693002621	0.45581	-0.309435851
A_23_P102694	-0.0152632	-0.4265899699	0.119714	-0.04931511745	-0.0692303	-0.05564573739
A_23_P102706	0.0310735	-0.2037796339	0.262394	-0.1459278029	-0.30745	-0.3400365421
A_23_P102731	-0.631799	-0.3257163955	-0.511535	0.1285280878	0.188883	-0.08883511842
A_23_P102743	0.149827	0.00276444775	-0.00740805	-0.1387274908	-0.0935104	-0.02002219226
A_23_P102759	0.258694	0.3454597378	0.121134	-0.5642352409	-0.157542	-0.226461221
A_23_P102769	0.177984	-0.01919514231	-0.187205	0.07068581924	0.0253491	0.1863484877
A_23_P102770	0.11109	-0.05340354043	0.155408	-0.0156475976	0.102111	-0.1234554755
A_23_P102816	0.00793076	0.2474536689	0.0674463	-0.1161734281	-0.833186	-0.153409285
A_23_P102832	0.143973	-0.1509002582	0.279556	-0.1960841219	0.027071	-0.06852422869
A_23_P102842	0.113147	-0.01422677113	0.0697472	-0.1534431289	-0.092055	-0.1144929827
A_23_P102864	-0.112528	-0.1545675642	0.146688	0.01728984436	0.0791883	-0.1015310701
A_23_P102876	0.0894392	0.03812359363	-0.0131768	-0.1188866615	-0.0499654	-0.09491211741
A_23_P102884	0.125538	-0.2780754876	0.0389727	-0.1233200445	-0.22386	-0.03769229365
A_23_P102890	-0.277691	-0.05837031696	-0.372117	0.199864068	0.426571	-0.0963912917
A_23_P1029	-0.066273	0.291203397	0.0208982	0.1277658793	-0.127096	-0.01240473426
A_23_P10291	0.0951157	-0.07726307732	0.0286948	-0.03517412691	-0.312447	-0.02777846263
A_23_P102917	-0.0629555	0.04027359276	0.0420948	0.1395045109	0.168378	-0.08590889034
A_23_P102919	-0.132805	0.3151050335	0.000356494	0.03834167172	-0.199272	-0.1293238572
A_23_P102925	0.13574	0.06721006119	0.0801636	0.2518097749	-0.0696618	-0.1167209704
A_23_P102937	0.0742433	-0.3410552298	0.0783905	-0.3500221123	0.187916	-0.2784901818
A_23_P102950	0.113197	-0.2293618417	0.235614	-0.4809096083	-0.20901	-1.061132701
A_23_P102965	0.122299	0.09521569965	0.057067	-0.2140543641	-0.111441	-0.3042789764
A_23_P102973	-0.374253	-0.01724673109	0.0960762	0.1599099467	0.0580529	0.0840129921
A_23_P102988	0.119314	-0.2810090476	0.136628	-0.1384552998	0.187033	-0.06546566583
A_23_P102994	-0.0195694	-0.09304085288	-0.0816414	-0.1358690192	0.102342	0.01215627774
A_23_P103011	-0.105989	0.1499440475	-0.103137	0.0789806351	-0.500239	0.0846594471
A_23_P103034	-0.0608431	-0.2237121937	-0.0149394	-0.05956470015	0.0453636	-0.09384222279
A_23_P103041	-0.110977	-0.09173744714	0.117316	0.1277267607	0.292019	-0.1016217734
A_23_P10305	0.190813	-0.06531466233	-0.120516	-0.05350305266	-0.100229	0.1309317863
A_23_P103062	-0.00212413	0.1277950318	0.0240875	0.1704309623	0.170775	0.08610894834
A_23_P103070	-0.399798	0.240934136	0.0935113	-0.1524953812	0.0769467	0.1081665839
A_23_P103084	0.11993	0.07154142028	0.07923	-0.2398042983	0.163671	0.3835993069
A_23_P103099	-0.4507	0.8955380174	0.0909105	0.02742849373	0.200951	0.06489112473
A_23_P103104	-0.0174439	0.1550949321	-0.126298	0.06101016926	-0.217058	0.2080190041
A_23_P103110	-0.411074	0.1771691771	-0.346725	0.4571876913	0.330138	0.1685887985
A_23_P103120	0.118377	-0.240826157	0.190725	-0.1538834815	-0.128947	-0.1628703067
A_23_P103131	0.114496	0.05212086624	0.0554246	-0.06590685264	0.126187	-0.2216016882
A_23_P103149	0.00651094	-0.2960928903	0.0780918	-0.3069299968	0.137821	-0.278756018
A_23_P103172	0.0155695	0.04220283609	-0.119616	0.2493932667	-0.0615362	0.1804654312
A_23_P103180	0.132213	0.3113720706	-0.00581722	0.1067348105	0.0857995	-0.00144725732
A_23_P103201	0.145333	0.1231051968	-0.138071	-0.2978167714	0.159091	-0.1232433044
A_23_P103226	0.0664347	-0.3653329541	0.0443096	-0.200787177	0.197365	-0.1125546686
A_23_P103232	-0.191636	0.08347636841	-0.0269722	0.6905952661	0.286453	0.3736380035
A_23_P103248	0.170992	-0.1365713291	0.316334	-0.2427437299	-0.0268804	-0.06194212625
A_23_P103256	-0.812256	0.2114426782	-0.984374	0.4149595324	0.70003	0.8356220428
A_23_P103269	0.241334	0.1466827804	0.230045	-0.04687653667	-0.274139	-0.01467628324
A_23_P103276	0.235442	-0.08711526753	-0.0799113	0.05740716278	0.139102	0.1045475199
A_23_P103282	-0.128703	-0.3539632941	-0.411896	-0.2512343638	0.637448	0.003535210819
A_23_P103310	0.263883	-0.04750649508	0.194623	-0.07310804868	-0.0751179	-0.09456922961
A_23_P103315	-0.0699108	-0.03225254759	-0.177805	0.113210546	-0.0324231	0.1012186868
A_23_P103328	-0.00071568	-0.07616094714	0.0959439	-0.0542623996	-0.0872672	0.04849858829
A_23_P103334	0.115175	-0.02340174095	0.0551014	-0.03408692474	-0.228622	-0.03175171853
A_23_P103349	0.0571646	0	-0.0244493	-0.05438711893	-0.202956	-0.04519024604
A_23_P103361	-0.122974	0.2385053865	0.00496788	0.2044466969	0.0363106	0.07187053434
A_23_P103371	0.102518	0.2922437622	0.16365	-0.168315471	-0.130646	-0.1432379509
A_23_P103398	-0.224315	0.01453645645	-0.188759	0.06724504434	0.223661	0.14113529
A_23_P103405	-0.142991	0.04931432806	0.181533	0.240679788	-0.0411178	0.2369011141
A_23_P103414	0.0851307	-0.01125198268	-0.179661	0.1620443623	-0.00708684	0.01273238951
A_23_P103424	-0.0617402	-0.1632044543	0.227698	0.1007342157	-0.129004	0.03707990731
A_23_P103433	0.231816	-0.1161763933	0.26086	-0.09880963664	-0.158653	-0.1913003737
A_23_P103442	-0.0258282	0.1438183649	-0.133342	0.0190106356	0.0511737	0.002759916338
A_23_P103454	0.00894996	-0.03232213864	0.065629	-0.1520075923	-0.0131539	-0.1909496862
A_23_P103465	-0.289151	-0.6317656514	-0.141314	-0.6315825255	0.239227	-0.7052164862
A_23_P103476	0.185146	-0.1109349215	0.189677	0.2678479153	0.088798	0.1396440942
A_23_P103486	-0.0531503	0.4081804173	0.170753	0.3122012109	0.186374	0.5426905203
A_23_P103496	-0.413156	0.6233505109	-0.241442	0.09796738518	0.421389	0.1449312043
A_23_P103503	0.138526	0.3196830233	-0.0251223	0.2353827269	0.141523	0.316204278
A_23_P103511	-0.105592	-0.04128811592	0.445474	0.03086211212	-0.330422	-0.1584528336
A_23_P103522	-0.257372	0.2638025203	0.326033	0.2162262809	0.485519	0.2132455487
A_23_P103532	-0.0283157	-0.03751975346	0.015308	-0.01354946093	-0.190765	0.02276693587
A_23_P10356	-0.410109	0.8060337431	-0.0190119	0.394679394	-0.23863	0.130534767
A_23_P103561	-0.498218	0.2922334207	-0.122624	0.335548331	0.0360073	0.5141927331
A_23_P103571	0.324453	-0.1628045202	0.018594	-0.05424678305	-0.125115	0.4671492974
A_23_P103588	-0.440599	-0.5668411593	-0.81513	-0.3776381504	0.17381	-0.1935822956
A_23_P103601	-0.353469	-0.03597760169	-0.420872	0.2292513887	0.664916	-0.01903101402
A_23_P103617	-0.464323	-0.220095401	0.054602	0.06527639213	-0.220683	-0.08357240037
